player_id,games_played,minutes_played,field_goals_made,field_goals_attempts,three_points_made,three_points_attempts,free_throws_made,free_throws_attempted,turnovers,personal_fouls,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,points
0,67,2316.3,643,1303,148,425,264,381,261,118,65,459,524,684,78,36,1698
1,57,1848.2,532,1133,123,325,356,402,149,113,54,348,402,280,103,33,1543
2,63,1916.9,685,1238,89,293,398,629,230,195,140,716,856,354,61,66,1857
3,68,2482.6,672,1514,299,843,692,800,308,227,70,376,446,512,125,60,2335
4,62,2131.4,551,1096,72,218,444,525,154,156,143,435,578,200,91,143,1618
5,66,2473.7,624,1349,270,674,460,518,194,114,33,251,284,530,70,22,1978
6,51,1505.9,382,801,57,172,352,436,159,174,141,452,593,152,45,65,1173
7,73,2335.7,565,1071,80,255,246,301,226,222,166,545,711,512,85,44,1456
8,57,2049.2,604,1281,55,213,290,380,255,200,100,351,451,401,93,20,1553
9,35,1187.0,316,622,114,277,180,226,110,117,95,283,378,153,33,42,926
10,58,1959.3,345,758,29,119,438,525,127,81,106,280,386,350,103,32,1157
11,68,2332.8,386,557,0,0,254,403,130,215,230,686,916,101,51,135,1026
12,69,2364.0,602,1342,173,473,278,322,184,172,53,251,304,294,70,14,1655
13,56,1742.5,378,889,180,473,209,242,117,91,36,181,217,268,48,28,1145
14,61,2047.3,581,1255,171,541,426,562,260,153,78,495,573,538,60,14,1759
15,53,1754.1,391,793,61,157,158,191,74,128,103,289,392,129,36,87,1001
16,57,2053.2,593,1303,170,481,386,458,194,126,52,190,242,347,71,23,1742
17,68,2316.4,557,1049,9,35,381,451,164,180,44,331,375,379,70,20,1504
18,70,2556.4,611,1356,194,512,140,185,127,183,46,251,297,310,54,42,1556
19,57,1813.8,398,932,142,403,226,283,92,185,100,440,540,102,41,115,1164
20,60,2110.3,500,1104,131,365,240,303,148,170,64,375,439,207,61,53,1371
21,57,2016.9,375,647,2,7,185,298,200,186,113,331,444,455,119,33,937
22,51,1634.3,391,815,54,185,241,342,158,145,35,161,196,348,74,25,1077
23,70,2511.8,627,1283,141,398,468,509,264,213,29,268,297,456,49,18,1863
24,57,1878.4,418,784,5,35,169,294,203,201,250,614,864,152,109,93,1010
25,43,1221.6,123,316,36,129,63,83,98,110,23,243,266,266,59,33,345
26,61,2116.8,458,1006,122,346,129,182,184,145,77,216,293,408,99,48,1167
27,62,1998.3,493,1033,98,289,131,167,88,135,140,531,671,222,54,47,1215
28,66,2265.1,552,1226,189,469,254,313,155,136,64,396,460,200,93,57,1547
29,60,2120.1,546,1249,205,568,481,559,289,104,32,223,255,560,65,8,1778
30,61,1646.3,334,704,74,215,169,214,148,128,44,239,283,328,57,26,911
31,39,1279.3,244,388,0,0,55,104,63,102,168,369,537,48,33,72,543
32,72,2469.2,553,1173,131,357,173,215,104,165,69,426,495,227,53,40,1410
33,67,2025.5,319,709,99,283,61,80,80,142,103,353,456,270,52,61,798
34,60,2085.4,539,1199,184,484,268,334,206,131,41,248,289,254,88,28,1530
35,58,2098.3,334,803,164,466,294,343,178,190,32,260,292,433,82,26,1126
36,62,1852.8,471,947,147,354,208,227,137,142,44,338,382,265,53,7,1297
37,70,2207.6,434,887,111,304,253,279,161,158,26,323,349,472,111,11,1232
38,72,2216.1,498,1162,271,688,115,136,168,165,57,272,329,213,66,17,1382
39,61,1526.2,291,668,86,272,114,155,91,126,52,221,273,80,28,26,782
40,59,1903.6,408,894,112,324,163,185,127,102,45,191,236,284,67,17,1091
41,63,2082.8,418,935,189,457,250,277,159,110,39,220,259,131,34,7,1275
42,54,1666.3,326,744,75,230,166,186,131,98,46,216,262,381,35,10,893
43,62,1834.0,358,817,178,439,266,298,76,75,34,288,322,119,42,5,1160
44,63,1749.1,471,812,0,18,231,351,108,146,163,282,445,107,39,72,1173
45,56,1780.0,327,727,146,390,187,219,140,90,54,493,547,178,33,19,987
46,50,1491.5,251,591,109,317,126,153,81,96,60,253,313,74,42,23,737
47,64,2080.5,463,1006,64,231,258,352,193,178,151,471,622,198,51,22,1248
48,63,1680.5,283,478,1,3,117,201,94,122,207,376,583,146,51,67,684
