team_id,player_id,position,jersey
0,0,F,23
1,1,F,2
2,2,F-G,34
3,3,G,13
0,4,F-C,3
5,5,G,0
6,6,C,21
7,7,C,15
3,8,G,0
9,9,F-C,32
10,10,G,22
11,11,C,27
11,12,G,45
13,13,G,8
14,14,G-F,77
15,15,F-C,12
16,16,G,3
15,17,G-F,10
5,18,G,3
14,19,F-C,6
20,20,F,43
6,21,F,25
22,22,G,5
23,23,G,1
24,24,C,0
25,25,F,23
26,26,G,11
27,27,C,9
13,28,F,0
29,29,G,11
2,30,G,6
29,31,C,15
6,32,F,12
6,33,C-F,42
34,34,G,8
20,35,G,7
2,36,F,22
37,37,G,3
22,38,G,24
0,39,F,0
7,40,G,27
11,41,G-F,44
42,42,G,7
37,43,F,8
1,44,F,5
24,45,F,0
34,46,F-C,24
47,47,F,30
37,48,C,12
49,49,G,8
7,50,F-C,4
13,51,G,36
42,52,F-C,33
20,53,F,9
15,54,F,22
27,55,F,0
26,56,F,14
49,57,C,6
42,58,F-C,11
59,59,C,17
5,60,C,21
61,61,G,25
3,62,F,33
26,63,F,22
13,64,F,20
13,65,C,11
26,66,G,4
6,67,G,0
42,68,F,1
59,69,G,12
10,70,F-C,13
49,71,C,31
26,72,G,2
22,73,F,40
1,74,G,21
13,75,F,7
14,76,C,0
10,77,G,7
37,78,G,2
7,79,G,14
11,80,F,2
42,81,G,26
2,82,C,11
0,83,C,7
47,84,C,23
27,85,G,8
24,86,F,13
3,87,F,17
20,88,G,23
25,89,F,22
34,90,F,21
47,91,G,9
23,92,G,11
7,93,G,5
22,94,G,8
11,95,G,8
27,96,G,10
1,97,F,4
49,98,G,12
1,99,F,0
15,100,G,5
24,101,F,22
10,102,C,9
47,103,F-C,1
104,104,G,3
29,105,G,0
15,106,G,4
24,107,G,10
29,108,F,12
27,109,F,2
9,110,G,0
22,111,F-G,88
47,112,F,67
7,113,F,9
0,114,G,14
14,115,G,11
22,116,C,0
7,117,G,11
37,118,F-C,9
7,119,C-F,24
15,120,C-F,25
14,121,F-C,7
49,122,F,2
23,123,F,20
24,124,G,2
104,125,C-F,40
1,126,C,40
9,127,G,23
5,128,F-G,0
27,129,G,14
16,130,F,42
0,131,G,11
104,132,F,0
14,133,G,13
0,134,G,1
10,135,F,99
59,136,C,0
5,137,F,5
29,138,G,3
2,139,F,7
47,140,F,20
2,141,G,9
11,142,G,8
3,143,G,25
0,144,G,9
1,145,G,20
13,146,C,27
147,147,G,0
2,148,F,2
14,149,G,55
34,150,G,0
22,151,G,26
15,152,G,18
104,153,C,8
23,154,F-G,25
47,155,G,21
34,156,G,32
15,157,G,11
26,158,G,3
5,159,F-G,44
2,160,G,3
20,161,F,4
61,162,G,5
2,163,F,26
2,164,C,42
15,165,F,41
42,166,G,9
104,167,G,1
0,168,F,88
16,169,G,0
24,170,F-G,16
34,171,G,31
6,172,F,1
59,173,F,1
59,174,G-F,24
2,175,G,24
7,176,G,3
14,177,G,30
27,178,G,20
14,179,F-G,44
10,180,F,5
22,181,G,9
14,182,F-C,42
42,183,F,20
26,184,G,55
20,185,G,24
61,186,F,35
26,187,F-C,10
104,188,G,7
29,189,F,95
2,190,G,23
6,191,G,0
0,192,G,4
27,193,F,0
14,194,F,10
42,195,G,3
3,196,F,4
59,197,G,21
6,198,F,30
47,199,G,11
3,200,G,0
11,201,F,23
13,202,F,37
9,203,G,20
61,204,F,17
9,205,F,0
49,206,G-F,17
15,207,G,1
13,208,G,9
10,209,G,14
59,210,F,15
26,211,F,20
5,212,F,9
2,213,G,0
61,214,G,9
42,215,G,8
27,216,F,25
61,217,F-C,7
1,218,G,19
11,219,F,31
5,220,G,1
59,221,F,0
13,222,F,12
104,223,F,25
34,224,G,51
42,225,C,88
59,226,G,0
6,227,G-F,22
23,228,F,23
20,229,F-C,25
23,230,G,4
37,231,G,23
29,232,G,12
26,233,G,15
3,234,G,16
23,235,G,2
16,236,G,1
5,237,G,2
29,238,F,24
25,239,F,7
37,240,F,7
11,241,F-C,13
10,242,F,44
29,243,C-F,0
37,244,F,11
25,245,G,3
104,246,G,0
16,247,G,17
10,248,F,55
