team_id,team_name
0,Los Angeles Lakers
1,Los Angeles Clippers
2,Milwaukee Bucks
3,Houston Rockets
4,Portland Trail Blazers
5,Philadelphia 76ers
6,Denver Nuggets
7,Minnesota Timberwolves
8,Miami Heat
9,Utah Jazz
10,Boston Celtics
11,Dallas Mavericks
12,San Antonio Spurs
13,Washington Wizards
14,Toronto Raptors
15,Sacramento Kings
16,Phoenix Suns
17,Cleveland Cavaliers
18,Golden State Warriors
19,New Orleans Pelicans
20,Orlando Magic
21,Atlanta Hawks
22,Chicago Bulls
23,Oklahoma City Thunder
24,Indiana Pacers
25,New York Knicks
26,Brooklyn Nets
27,Memphis Grizzlies
28,Detroit Pistons
29,Charlotte Hornets
30,On Market
