team_id,player_id,position,jersey
0,0,F,23
1,1,F,2
2,2,F-G,34
3,3,G,13
0,4,F-C,3
5,5,G,0
6,6,C,21
7,7,C,15
3,8,G,0
9,9,F-C,32
10,10,G,22
11,11,C,27
11,12,G,45
13,13,G,8
14,14,G-F,77
15,15,F-C,12
16,16,G,3
15,17,G-F,10
14,18,F-C,6
19,19,F,43
6,20,F,25
21,21,G,5
22,22,G,1
23,23,C,0
24,24,F,23
25,25,G,11
26,26,C,9
13,27,F,0
28,28,G,11
2,29,G,6
28,30,C,15
6,31,F,12
6,32,C-F,42
33,33,G,8
19,34,G,7
2,35,F,22
36,36,G,3
21,37,G,24
0,38,F,0
7,39,G,27
11,40,G-F,44
41,41,G,7
36,42,F,8
1,43,F,5
23,44,F,0
33,45,F-C,24
46,46,F,30
36,47,C,12
48,48,G,8
7,49,F-C,4
13,50,G,36
41,51,F-C,33
19,52,F,9
15,53,F,22
26,54,F,0
25,55,F,14
48,56,C,6
41,57,F-C,11
58,58,C,17
5,59,C,21
60,60,G,25
3,61,F,33
25,62,F,22
13,63,F,20
13,64,C,11
6,65,G,0
58,66,G,12
10,67,F-C,13
48,68,C,31
25,69,G,2
21,70,F,40
1,71,G,21
13,72,F,7
14,73,C,0
10,74,G,7
36,75,G,2
7,76,G,14
11,77,F,2
41,78,G,26
2,79,C,11
0,80,C,7
46,81,C,23
26,82,G,8
23,83,F,13
19,84,G,23
24,85,F,22
33,86,F,21
22,87,G,11
7,88,G,5
21,89,G,8
11,90,G,8
26,91,G,10
1,92,F,4
48,93,G,12
1,94,F,0
15,95,G,5
10,96,C,9
46,97,F-C,1
98,98,G,3
28,99,G,0
15,100,G,4
23,101,G,10
28,102,F,12
26,103,F,2
9,104,G,0
21,105,F-G,88
46,106,F,67
7,107,F,9
0,108,G,14
21,109,C,0
7,110,G,11
36,111,F-C,9
7,112,C-F,24
15,113,C-F,25
14,114,F-C,7
48,115,F,2
22,116,F,20
23,117,G,2
98,118,C-F,40
1,119,C,40
9,120,G,23
5,121,F-G,0
16,122,F,42
0,123,G,11
98,124,F,0
14,125,G,13
0,126,G,1
10,127,F,99
58,128,C,0
5,129,F,5
28,130,G,3
2,131,F,7
46,132,F,20
2,133,G,9
11,134,G,8
3,135,G,25
0,136,G,9
1,137,G,20
13,138,C,27
139,139,G,0
2,140,F,2
14,141,G,55
33,142,G,0
21,143,G,26
15,144,G,18
98,145,C,8
22,146,F-G,25
46,147,G,21
33,148,G,32
15,149,G,11
25,150,G,3
5,151,F-G,44
2,152,G,3
19,153,F,4
60,154,G,5
2,155,F,26
2,156,C,42
15,157,F,41
98,158,G,1
0,159,F,88
16,160,G,0
23,161,F-G,16
33,162,G,31
6,163,F,1
58,164,F,1
58,165,G-F,24
2,166,G,24
7,167,G,3
14,168,G,30
26,169,G,20
14,170,F-G,44
10,171,F,5
21,172,G,9
14,173,F-C,42
41,174,F,20
25,175,G,55
19,176,G,24
60,177,F,35
25,178,F-C,10
98,179,G,7
2,180,G,23
6,181,G,0
0,182,G,4
26,183,F,0
14,184,F,10
41,185,G,3
3,186,F,4
58,187,G,21
6,188,F,30
46,189,G,11
3,190,G,0
11,191,F,23
13,192,F,37
9,193,G,20
60,194,F,17
9,195,F,0
48,196,G-F,17
15,197,G,1
13,198,G,9
10,199,G,14
58,200,F,15
25,201,F,20
5,202,F,9
2,203,G,0
60,204,G,9
41,205,G,8
26,206,F,25
60,207,F-C,7
1,208,G,19
11,209,F,31
5,210,G,1
58,211,F,0
13,212,F,12
33,213,G,51
41,214,C,88
58,215,G,0
6,216,G-F,22
22,217,F,23
19,218,F-C,25
22,219,G,4
36,220,G,23
28,221,G,12
25,222,G,15
3,223,G,16
22,224,G,2
16,225,G,1
28,226,F,24
24,227,F,7
36,228,F,7
11,229,F-C,13
10,230,F,44
28,231,C-F,0
36,232,F,11
24,233,G,3
16,234,G,17
10,235,F,55
