team_id,team
0,Los Angeles Lakers
1,Los Angeles Clippers
2,Milwaukee Bucks
3,Houston Rockets
5,Portland Trail Blazers
6,Philadelphia 76ers
7,Denver Nuggets
9,Minnesota Timberwolves
10,Miami Heat
11,Utah Jazz
13,Boston Celtics
14,Dallas Mavericks
15,San Antonio Spurs
16,Washington Wizards
19,Toronto Raptors
21,Sacramento Kings
22,Phoenix Suns
23,Cleveland Cavaliers
24,Golden State Warriors
25,New Orleans Pelicans
26,Orlando Magic
28,Atlanta Hawks
33,Chicago Bulls
36,Oklahoma City Thunder
41,Indiana Pacers
46,New York Knicks
48,Brooklyn Nets
58,Memphis Grizzlies
60,Detroit Pistons
98,Charlotte Hornets
139,On Market
